loss,val_loss
430195081216.0,418636333056.0
425481895936.0,402988400640.0
372005404672.0,291769778176.0
200033533952.0,111686328320.0
102390235136.0,95037833216.0
97271201792.0,93061218304.0
95115829248.0,90993500160.0
92882526208.0,89285517312.0
90690707456.0,86748667904.0
88318017536.0,84395581440.0
85882740736.0,82015846400.0
83386384384.0,79542984704.0
80667148288.0,77057130496.0
77875462144.0,74135257088.0
74932232192.0,71262699520.0
71880392704.0,68292771840.0
68735164416.0,65244852224.0
65717014528.0,62387277824.0
62725718016.0,59592118272.0
59937533952.0,56993570816.0
57455157248.0,54779752448.0
55348621312.0,53052207104.0
53664681984.0,51458060288.0
52241154048.0,50324893696.0
51130220544.0,49339928576.0
50177404928.0,48590823424.0
49390362624.0,47806918656.0
48698494976.0,47150960640.0
48016793600.0,46571245568.0
47418871808.0,45985017856.0
46831493120.0,45565681664.0
46286536704.0,44884385792.0
45737746432.0,44426698752.0
45243744256.0,43921117184.0
44772491264.0,43823435776.0
44383645696.0,43043475456.0
43936874496.0,42878783488.0
43535179776.0,42240028672.0
43128573952.0,41858736128.0
42775560192.0,41514041344.0
42412118016.0,41153605632.0
42069131264.0,40789200896.0
41717911552.0,40462823424.0
41376366592.0,40137277440.0
41067823104.0,39820496896.0
40738926592.0,39517982720.0
40471334912.0,39190642688.0
40182845440.0,38912311296.0
39882158080.0,38723076096.0
39602499584.0,38395416576.0
39363506176.0,38114156544.0
39136387072.0,37855109120.0
38817001472.0,37551595520.0
38542331904.0,37391921152.0
38317355008.0,37007556608.0
38071324672.0,36792938496.0
37760552960.0,36535980032.0
37499281408.0,36328919040.0
37409771520.0,36027027456.0
37081894912.0,35875868672.0
36903366656.0,35620757504.0
36730675200.0,35412971520.0
36516311040.0,35226120192.0
36369666048.0,35202355200.0
36178927616.0,34895380480.0
36073676800.0,34723803136.0
35902304256.0,34593275904.0
35736649728.0,34426097664.0
35616088064.0,34307690496.0
35484213248.0,34226823168.0
35376222208.0,34082123776.0
35277615104.0,33971695616.0
35170889728.0,33877876736.0
35130302464.0,33784676352.0
34982879232.0,33718958080.0
34922295296.0,33598593024.0
34828623872.0,33536663552.0
34742108160.0,33493956608.0
34673512448.0,33374642176.0
34587729920.0,33389146112.0
34546700288.0,33294186496.0
34479509504.0,33159768064.0
34379423744.0,33079054336.0
34299039744.0,33000853504.0
34231271424.0,32993994752.0
34177429504.0,32948324352.0
34098061312.0,32859938816.0
34095151104.0,32692015104.0
33947469824.0,32629391360.0
33898088448.0,32613146624.0
33877852160.0,32477288448.0
33796884480.0,32409016320.0
33713688576.0,32430747648.0
33650802688.0,32318703616.0
33591590912.0,32267792384.0
33577908224.0,32159807488.0
33547153408.0,32104978432.0
33442459648.0,32125106176.0
33462566912.0,31988068352.0
33357572096.0,31985004544.0
33354823680.0,31890927616.0
33297377280.0,31831545856.0
33205018624.0,31802662912.0
33168576512.0,31746912256.0
33145503744.0,31699144704.0
33077727232.0,31665391616.0
33067341824.0,31598919680.0
33043578880.0,31553034240.0
32962924544.0,31532085248.0
32936431616.0,31506055168.0
32944185344.0,31452911616.0
32876941312.0,31416426496.0
32920438784.0,31381127168.0
32843483136.0,31318251520.0
32782637056.0,31248646144.0
32727154688.0,31217809408.0
32694552576.0,31208269824.0
32622258176.0,31327021056.0
32653264896.0,31098847232.0
32571627520.0,31057340416.0
32548016128.0,31033858048.0
32532740096.0,31285796864.0
32494964736.0,30922741760.0
32458471424.0,30890158080.0
32415670272.0,30873403392.0
32394549248.0,30820134912.0
32369045504.0,30806953984.0
32329820160.0,30843457536.0
32301459456.0,30776565760.0
32290355200.0,30721689600.0
32291491840.0,30683215872.0
32258027520.0,30638825472.0
32203974656.0,30654283776.0
32154955776.0,30605539328.0
32134629376.0,30582372352.0
32202041344.0,30514219008.0
32070504448.0,30550151168.0
32039645184.0,30728519680.0
32025907200.0,30424416256.0
32001773568.0,30405715968.0
31967510528.0,30363621376.0
31936557056.0,30321659904.0
31930124288.0,30291775488.0
31936849920.0,30352371712.0
31910717440.0,30256250880.0
31869407232.0,30193979392.0
31841427456.0,30163054592.0
31882215424.0,30177351680.0
31792228352.0,30142875648.0
31789934592.0,30125408256.0
31754485760.0,30246844416.0
31729055744.0,30106093568.0
31726698496.0,30036467712.0
31713306624.0,30029199360.0
31700312064.0,29991725056.0
31683649536.0,29956679680.0
31628228608.0,29914798080.0
31609888768.0,29922799616.0
31625973760.0,29885343744.0
31548174336.0,29855496192.0
31534434304.0,29815365632.0
31511674880.0,29813348352.0
31508617216.0,29844064256.0
31512184832.0,29739200512.0
31473164288.0,29704345600.0
31433267200.0,29900075008.0
31483400192.0,29661775872.0
31452796928.0,29746466816.0
31444758528.0,29623078912.0
31453564928.0,29651044352.0
31362985984.0,29570844672.0
31365048320.0,29607845888.0
31336394752.0,29570095104.0
31299641344.0,29535328256.0
31313858560.0,29512824832.0
31256743936.0,29441830912.0
31262554112.0,29522561024.0
31298871296.0,29439127552.0
31222837248.0,29399754752.0
31184332800.0,29394898944.0
31184177152.0,29385189376.0
31187118080.0,29420464128.0
31157020672.0,29356152832.0
31161686016.0,29299068928.0
31157592064.0,29288781824.0
31116533760.0,29261178880.0
31139250176.0,29314625536.0
31079245824.0,29321908224.0
31055714304.0,29230686208.0
31041982464.0,29200922624.0
31047096320.0,29324435456.0
31015221248.0,29248129024.0
31005251584.0,29218019328.0
31046756352.0,29418223616.0
31005118464.0,29123518464.0
30967457792.0,29104844800.0
30947629056.0,29238712320.0
31003924480.0,29062928384.0
30913744896.0,29043986432.0
30894864384.0,29038012416.0
30912839680.0,28966891520.0
30881312768.0,28961179648.0
30897522688.0,28964974592.0
30873696256.0,28938539008.0
30885570560.0,28949950464.0
30838837248.0,28893050880.0
30830522368.0,28974057472.0
30847205376.0,28884983808.0
30786924544.0,28831154176.0
30802137088.0,28794337280.0
30795446272.0,28798504960.0
30796288000.0,28786382848.0
30828335104.0,28782653440.0
30721540096.0,28819236864.0
30713661440.0,28742381568.0
30787381248.0,28825305088.0
30676334592.0,28778815488.0
30671298560.0,28638298112.0
30680236032.0,28637157376.0
30667958272.0,28748541952.0
30675763200.0,28804567040.0
30680340480.0,28844392448.0
30679263232.0,28634492928.0
30620813312.0,28593401856.0
30595809280.0,28565366784.0
30589855744.0,28573898752.0
30579916800.0,28526702592.0
30570764288.0,28521422848.0
30591129600.0,28527398912.0
30582200320.0,28518963200.0
30606749696.0,28668735488.0
30620442624.0,28512917504.0
30519408640.0,28471799808.0
30517055488.0,28569358336.0
30508417024.0,28518207488.0
30513842176.0,28513572864.0
30462078976.0,28424947712.0
30479749120.0,28411068416.0
30475173888.0,28412319744.0
30439636992.0,28380456960.0
30434871296.0,28373299200.0
30485927936.0,28430434304.0
30439219200.0,28355043328.0
30402007040.0,28340881408.0
30366949376.0,28336103424.0
30341722112.0,28326225920.0
30379624448.0,28263485440.0
30372401152.0,28289564672.0
30356320256.0,28425095168.0
30457575424.0,28285581312.0
30359638016.0,28248150016.0
30290675712.0,28340795392.0
30350329856.0,28207075328.0
30289313792.0,28200583168.0
30296682496.0,28180760576.0
30258954240.0,28246233088.0
30317142016.0,28193800192.0
30266118144.0,28337254400.0
30277439488.0,28155920384.0
30283462656.0,28161019904.0
30200137728.0,28187811840.0
30251395072.0,28159270912.0
30244405248.0,28099731456.0
30201618432.0,28156596224.0
30189330432.0,28251549696.0
30226309120.0,28051163136.0
30172604416.0,28100425728.0
30153025536.0,28191141888.0
30174273536.0,28023758848.0
30168231936.0,28002164736.0
30117752832.0,27994705920.0
30113097728.0,28114536448.0
30105645056.0,27999911936.0
30133784576.0,27988318208.0
30104991744.0,27938562048.0
30078164992.0,27988051968.0
30144501760.0,27888738304.0
30038376448.0,27883249664.0
30056744960.0,27953418240.0
30014203904.0,27884650496.0
30042775552.0,27857115136.0
30005030912.0,28038346752.0
30060412928.0,27831777280.0
29982488576.0,27819456512.0
30008055808.0,27798857728.0
29948993536.0,27773700096.0
29932199936.0,27794698240.0
30028998656.0,27848677376.0
29951451136.0,27725666304.0
29936281600.0,27752503296.0
29909827584.0,27744024576.0
29933152256.0,27770562560.0
29869002752.0,27769430016.0
29912147968.0,27651008512.0
29898625024.0,27659448320.0
29842108416.0,27655424000.0
29826383872.0,27626221568.0
29852786688.0,27605671936.0
29850466304.0,27608385536.0
29802741760.0,27567316992.0
29863266304.0,27586279424.0
29805078528.0,27558535168.0
29773821952.0,27754784768.0
29767897088.0,27512289280.0
29761886208.0,27523966976.0
29757184000.0,27511576576.0
29786284032.0,27517306880.0
29775777792.0,27501940736.0
29708032000.0,27502352384.0
29715193856.0,27449503744.0
29729880064.0,27435411456.0
29687621632.0,27423752192.0
29697378304.0,27403573248.0
29747013632.0,27404527616.0
29644062720.0,27472398336.0
29659549696.0,27451801600.0
29607880704.0,27538298880.0
29683861504.0,27381530624.0
29611233280.0,27372877824.0
29631934464.0,27325990912.0
29592395776.0,27297847296.0
29616033792.0,27347580928.0
29589827584.0,27405522944.0
29635524608.0,27305869312.0
29560758272.0,27299624960.0
29595979776.0,27341121536.0
29568153600.0,27489955840.0
29604683776.0,27278039040.0
29542764544.0,27212636160.0
29543104512.0,27230705664.0
29471942656.0,27266719744.0
29502349312.0,27232643072.0
29490958336.0,27236849664.0
29535801344.0,27291852800.0
29482504192.0,27176081408.0
29470564352.0,27128539136.0
29446488064.0,27142576128.0
29438980096.0,27111038976.0
29454710784.0,27162902528.0
29398786048.0,27091623936.0
29375152128.0,27096395776.0
29416660992.0,27069577216.0
29404389376.0,27123861504.0
29436612608.0,27244539904.0
29441271808.0,27034654720.0
29390209024.0,27427864576.0
29368469504.0,26986129408.0
29350203392.0,26988271616.0
29332754432.0,27086880768.0
29296521216.0,27008327680.0
29313183744.0,26972665856.0
29294331904.0,26950533120.0
29322205184.0,26953242624.0
29290235904.0,27057692672.0
29317300224.0,26932328448.0
29257029632.0,26947962880.0
29237680128.0,26913538048.0
29259952128.0,26884270080.0
29239490560.0,26869209088.0
29217982464.0,26945822720.0
29219891200.0,26887624704.0
29171361792.0,26858258432.0
29183797248.0,26823702528.0
29185519616.0,26865197056.0
29138755584.0,26811342848.0
29113221120.0,26783520768.0
29154379776.0,26850856960.0
29185896448.0,26765772800.0
29106214912.0,26823084032.0
29107042304.0,26771111936.0
29092925440.0,26687055872.0
29241485312.0,26688544768.0
29065070592.0,26723692544.0
29102221312.0,26766606336.0
29049006080.0,26700036096.0
29081804800.0,26680571904.0
29054697472.0,26654642176.0
29026304000.0,26636015616.0
29020872704.0,26659690496.0
28990801920.0,26663288832.0
29022904320.0,26601805824.0
29014876160.0,26606024704.0
28963934208.0,26966427648.0
29016750080.0,26589339648.0
28961304576.0,26542620672.0
28952424448.0,26566430720.0
28956268544.0,26664568832.0
28968646656.0,26513774592.0
28902299648.0,26568857600.0
28896356352.0,26487773184.0
28863096832.0,26525562880.0
28885536768.0,26438414336.0
28861378560.0,26435442688.0
28894316544.0,26474825728.0
28851070976.0,26416928768.0
28816328704.0,26550882304.0
28851908608.0,26375354368.0
28866760704.0,26385383424.0
28841103360.0,26416664576.0
28807976960.0,26359377920.0
